SPORT (EN),SPORT (FR),FIRST NAME / PRÉNOM,LAST NAME / NOM,PRONUNCIATION / PRONONCIATION,HOMETOWN / LIEU DE RÉSIDENCE,HOME PROVINCE / PROVINCE DE RÉSIDENCE,AGE (AT GAMES) / ÂGE (AUX JEUX),LANGUAGES / LANGUES
Archery,tir à l’arc,Virginie,Chénier,Verge - G – Knee Shen – knee -ey,Laval,Quebec,29,FR / EN
Archery,tir à l’arc,Eric,Peters,,Kitchener,Ontario,27,EN
Artistic Swimming,natation artistique,Scarlett,Finn,,Toronto,Ontario,22,EN
Artistic Swimming,natation artistique,Audrey,Lamothe,,Montreal,Quebec,19,FR / EN
Artistic Swimming,natation artistique,Jonnie,Newman,Johnny,Calgary,Alberta,18,EN
Artistic Swimming,natation artistique,Raphaelle,Plante,,Quebec,Quebec,21,FR / EN
Artistic Swimming,natation artistique,Kenzie,Priddell,,Regina,Saskatchewan,27,EN
Artistic Swimming,natation artistique,Claire,Scheffel,,Brantford,Ontario,20,EN
Artistic Swimming,natation artistique,Jacqueline,Simoneau,,Saint-Laurent,Quebec,27,EN / FR
Artistic Swimming,natation artistique,Florence,Tremblay,,Rimouski,Quebec,20,FR / EN
Athletics,athlétisme,Mariam,Abdul-Rashid,Mary-um,Oshawa,Ontario,26,EN
Athletics,athlétisme,Eliezer,Adjibi,,Ottawa,Ontario,23,EN
Athletics,athlétisme,Mohammed,Ahmed,aw-MED,St. Catharines,Ontario,30,EN / FR
Athletics,athlétisme,Marco,Arop,,Edmonton,Alberta,22,EN
Athletics,athlétisme,Duan,Asemota,,Ajax,Ontario,27,EN
Athletics,athlétisme,Jerome,Blake,,Kelowna,British Columbia,28,EN
Athletics,athlétisme,Aaron,Brown,,Toronto,Ontario,32,EN
Athletics,athlétisme,Kyra,Constantine,,Brampton,Ontario,25,EN
Athletics,athlétisme,Kate,Current,,Cobourg,Ontario,26,EN
Athletics,athlétisme,Andre,De Grasse,,Markham,Ontario,29,EN
Athletics,athlétisme,Jean-Simon,Desgagnés,,Saint-Ferréol-les-Neiges,Quebec,26,FR / EN
Athletics,athlétisme,Evan,Dunfee,,Richmond,British Columbia,33,EN / FR
Athletics,athlétisme,Malindi,Elmore,,Kelowna,British Columbia,44,EN / FR
Athletics,athlétisme,Crystal,Emmanuel-Ahye,,Toronto,Ontario,32,EN
Athletics,athlétisme,Thomas,Fafard,,Repentigny,Quebec,25,FR
Athletics,athlétisme,Ben,Flanagan,,Kitchener,Ontario,29,EN
Athletics,athlétisme,Lauren,Gale,,Ottawa,Ontario,24,EN
Athletics,athlétisme,Rowan,Hamilton,ROW-in,Chilliwack,British Columbia,24,EN
Athletics,athlétisme,Michelle,Harrison,,Saskatoon,Saskatchewan,31,EN
Athletics,athlétisme,Ethan,Katzberg,,Nanaimo,British Columbia,22,EN
Athletics,athlétisme,Adam,Keenan,,Victoria,British Columbia,30,EN 
Athletics,athlétisme,Marie-Éloïse,Leclair,,Montreal,Quebec,21,FR / EN
Athletics,athlétisme,Audrey,Leduc,,Gatineau,Quebec,25,FR / EN
Athletics,athlétisme,Cameron,Levins,,Black Creek,British Columbia,35,EN
Athletics,athlétisme,Rory,Linkletter,,Calgary,Alberta,27,EN
Athletics,athlétisme,Kieran,Lumb,,Vancouver,British Columbia,26,EN / FR
Athletics,athlétisme,Olivia,Lundman,,Lantzville,British Columbia,21,EN
Athletics,athlétisme,Jacqueline,Madogo,,Ottawa,Ontario,24,FR / EN
Athletics,athlétisme,Ceili,McCabe,KAY-LEE MIC-CABE,Vancouver,British Columbia,22,EN
Athletics,athlétisme,Sade,McCreath,Shaaa-day,Ajax,Ontario,28,EN
Athletics,athlétisme,Sarah,Mitton,,Brooklyn,Nova Scotia,28,EN
Athletics,athlétisme,Christopher,Morales Williams,Mor-al-is,Maple,Ontario,20,EN
Athletics,athlétisme,Anicka,Newell,Like Monica without the M,Saskatoon,Saskatchewan,31,EN
Athletics,athlétisme,Alysha,Newman,,Delaware,Ontario,30,EN / FR
Athletics,athlétisme,Jasneet,Nijjar,,Surrey,British Columbia,23,EN
Athletics,athlétisme,Charles,Philibert-Thiboutot,,Quebec City,Quebec,33,FR / EN
Athletics,athlétisme,Simone,Plourde,,Montreal,Quebec,23,EN / FR
Athletics,athlétisme,Brendon,Rodney,,Etobicoke,Ontario,32,EN
Athletics,athlétisme,Camryn,Rogers,KAM-rin ROJJ-urs,Richmond,British Columbia,25,EN
Athletics,athlétisme,Briana,Scott,,Vancouver,British Columbia,34,EN
Athletics,athlétisme,Zoe,Sherar,,Toronto,Ontario,24,EN
Athletics,athlétisme,Jazz,Shukla,Jazz Shoe-kluh,Toronto,Ontario,25,EN / FR
Athletics,athlétisme,Lucia,Stafford,,Toronto,Ontario,25,EN / FR
Athletics,athlétisme,Aiyanna,Stiverne,Eye-yawn-uh stih-vern,Laval,Quebec,29,EN
Athletics,athlétisme,Savannah,Sutherland,,Borden,Saskatchewan,21,EN
