Series,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,noc
NY.GDP.MKTP.KD,-2155501723.3442383,-1913016977.0177002,-1670532230.691101,-1428047484.364563,-1185562738.0379639,-943077991.7114258,-700593245.3848877,-458108499.0582886,-215623752.7317505,26860993.594848633,269345739.9213867,511830486.2479248,754315232.5745239,996799978.901062,1239284725.2276611,1481769471.5541992,1724254217.8807983,1966738964.2073364,2209223710.5338745,2451708456.8604736,4650626378.8948,4917834409.43272,5062841517.51705,5118782790.58601,5054716276.96241,5144722777.00532,5434743310.80588,5391926084.81754,5315358596.20905,5838206447.55577,5279160805.75993,3800882718.68776,3527709061.94659,3864937294.2247,4185837881.82175,4743489156.74337,5175146643.27572,4610021453.80966,5017059783.31958,5663799108.52767,6057218861.96683,6559562958.94637,6857139117.39279,7236245479.6585,7635300387.08491,8057259479.00459,8532852033.68952,9043394715.19952,9721653065.53613,10047745438.9452,10420209148.0929,10685445792.0183,10836884503.1437,10945471986.7318,11139693788.8124,11386853113.0189,11764325094.2129,12211675169.6845,12702504600.374,12967696312.7715,12539492342.004,13656576505.5665,14319794712.6268,14812273860.772,13363522041.555786,ALB
NY.GDP.MKTP.KD.ZG,-0.3260157046262293,-0.24694028348275765,-0.167864862339286,-0.08878944119581433,-0.009714020052342676,0.06936140109112898,0.14843682223460064,0.22751224337810072,0.3065876645215724,0.38566308566504404,0.4647385068085157,0.5438139279519874,0.622889349095459,0.7019647702389307,0.7810401913824023,0.8601156125259024,0.9391910336693741,1.0182664548128457,1.0973418759563174,1.176417297099789,1.2554927182432607,5.74563529228122,2.94859680118948,1.10493826195044,-1.25159664405811,1.78064395924903,5.63724317852112,-0.787842654927246,-1.42003965566391,9.83654897187228,-9.57564016993415,-28.0021416559099,-7.18711091500037,9.5594116849315,8.30286659699671,13.322333321684,9.09999943646361,-10.9199840781391,8.82942375839806,12.8908036407763,6.94621659244254,8.29331263121023,4.53652416035675,5.52863746491788,5.51466791097914,5.52642424695465,5.90265903591924,5.98325951855567,7.50004143020151,3.35428934987461,3.70693815255319,2.54540614450104,1.4172427999078,1.00201754071108,1.77444885260394,2.21872637517804,3.31498068384137,3.80259872019053,4.01934561695576,2.08771199649604,-3.30208203862541,8.90852781831182,4.85640165227306,3.43914949919611,4.734811248556156,ALB
EG.ELC.ACCS.ZS,99.74298128342245,99.74441844919785,99.74585561497325,99.74729278074865,99.74872994652405,99.75016711229945,99.75160427807485,99.75304144385025,99.75447860962565,99.75591577540106,99.75735294117646,99.75879010695186,99.76022727272726,99.76166443850266,99.76310160427806,99.76453877005346,99.76597593582886,99.76741310160426,99.76885026737966,99.77028743315506,99.77172459893048,99.77316176470588,99.77459893048128,99.77603609625668,99.77747326203207,99.77891042780747,99.78034759358287,99.78178475935827,99.78322192513367,99.78465909090907,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,100.0,99.6,99.6,99.7,99.9,99.9,100.0,100.0,99.9,99.9,100.0,100.0,100.0,100.0,100.0,99.83352272727272,99.83495989304812,ALB
EG.CFT.ACCS.ZS,-52.0178853754951,-49.71936758893389,-47.420849802372686,-45.12233201581057,-42.823814229249365,-40.52529644268816,-38.22677865612695,-35.92826086956575,-33.62974308300454,-31.331225296443336,-29.03270750988213,-26.734189723320924,-24.435671936759718,-22.137154150198512,-19.838636363637306,-17.5401185770761,-15.241600790514894,-12.943083003953689,-10.644565217391573,-8.346047430830367,-6.0475296442691615,-3.7490118577079556,-1.4504940711467498,0.8480237154144561,3.146541501975662,5.445059288536868,7.743577075098074,10.04209486165928,12.340612648220485,14.639130434781691,16.937648221342897,19.236166007904103,21.53468379446531,23.833201581026515,26.13171936758863,28.430237154149836,30.728754940711042,33.02727272727225,35.325790513833454,37.62430830039466,35.2,38.3,41.4,45.1,47.8,51.5,54.7,57.65,61.0,63.7,66.2,69.1,71.3,73.1,75.2,76.6,78.3,79.6,80.7,82.0,83.1,83.6,84.6,92.78873517786451,95.08725296442572,ALB
SP.POP.GROW,3.19495131154261,3.12085537059054,3.05673050279088,2.95374876199632,2.88068642624326,2.75402123804227,2.63456387954101,2.63019034549493,2.84251071048949,2.8960833877323,2.55085117829323,2.4229720170788,2.49497310670312,2.36255222384825,2.29721417566909,2.3011538096943,2.20823525497527,2.21325217885547,2.07574189532527,1.98945701957156,2.04796386136191,2.00297430640894,2.11327178253342,2.12088533357751,2.10393661802013,2.05599460887143,1.93322081083734,1.99703995612751,1.88671052887888,2.68786198874035,1.79908559333186,-0.602809679480026,-0.606434726201759,-0.610165792730247,-0.613880506929603,-0.617703658436963,-0.62151139901728,-0.625430096900055,-0.629334392525913,-0.63335227398725,-0.637356833943492,-0.93847042771206,-0.299876697084691,-0.374149169291299,-0.417931377925999,-0.511790116421897,-0.630911244851673,-0.75571875541991,-0.767342959142321,-0.673894046451936,-0.49646196338738,-0.269017331764615,-0.165151040121679,-0.183211384606402,-0.207046999760594,-0.291205786840436,-0.159880412127734,-0.0919722937442495,-0.246732042281782,-0.426007367032238,-0.574206959244013,-0.926918061639398,-1.21579032012532,-1.14841763771287,-1.497660672914634,ALB
EN.POP.DNST,78.56102381237292,60.5766423357664,62.456897810219,64.3292335766423,66.2093065693431,68.0580656934307,69.8749270072993,71.7371532846715,73.8055474452555,75.9742700729927,77.9371897810219,79.8486496350365,81.8659124087591,83.8230656934307,85.7709489051095,87.7675547445255,89.7272262773723,91.7352554744526,93.6593430656934,95.5413138686131,97.5181386861314,99.491094890511,101.61598540146,103.794160583942,106.001058394161,108.20299270073,110.315145985401,112.540328467153,114.683795620438,117.808138686131,119.946788321168,119.225912408759,118.505072992701,117.784197080292,117.063357664234,116.342481751825,115.621642335766,114.900766423358,114.179927007299,113.459051094891,112.738211678832,111.685145985401,111.350729927007,110.934890510949,110.472226277372,109.908284671533,109.21704379562,108.394781021898,107.566204379562,106.843759124088,106.314635036496,106.02901459854,105.854051094891,105.660291970803,105.441751824818,105.135145985401,104.967189781022,104.870693430657,104.612262773723,104.167554744526,103.571131386861,102.615547445255,120.71927414143829,121.39924592093939,122.0792177004405,ALB
SP.POP.TOTL,1608800.0,1659800.0,1711319.0,1762621.0,1814135.0,1864791.0,1914573.0,1965598.0,2022272.0,2081695.0,2135479.0,2187853.0,2243126.0,2296752.0,2350124.0,2404831.0,2458526.0,2513546.0,2566266.0,2617832.0,2671997.0,2726056.0,2784278.0,2843960.0,2904429.0,2964762.0,3022635.0,3083605.0,3142336.0,3227943.0,3286542.0,3266790.0,3247039.0,3227287.0,3207536.0,3187784.0,3168033.0,3148281.0,3128530.0,3108778.0,3089027.0,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,2866376.0,2854191.0,2837849.0,2811666.0,2777689.0,2745972.0,3293353.0074404776,ALB
AG.LND.TOTL.K2,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,ALB
SN.ITK.MSFI.ZS,132.42857142857156,130.75714285714275,129.0857142857144,127.4142857142856,125.74285714285725,124.07142857142844,122.40000000000009,120.72857142857129,119.05714285714294,117.38571428571413,115.71428571428578,114.04285714285697,112.37142857142862,110.69999999999982,109.02857142857147,107.35714285714266,105.68571428571431,104.0142857142855,102.34285714285716,100.67142857142835,99.0,97.3285714285712,95.65714285714284,93.9857142857145,92.31428571428569,90.64285714285734,88.97142857142853,87.30000000000018,85.62857142857138,83.95714285714303,82.28571428571422,80.61428571428587,78.94285714285706,77.27142857142871,75.59999999999991,73.92857142857156,72.25714285714275,70.5857142857144,68.9142857142856,67.24285714285725,65.57142857142844,63.90000000000009,62.228571428571286,60.557142857142935,58.88571428571413,57.21428571428578,55.542857142856974,53.87142857142862,52.19999999999982,50.52857142857147,48.85714285714266,47.18571428571431,45.514285714285506,43.842857142857156,42.17142857142835,38.8,39.0,38.6,37.1,33.8,30.9,30.2,28.800000000000182,27.128571428571377,25.457142857143026,ALB
NY.GDP.PCAP.KD,-944.9998847010429,-857.4237953326083,-769.8477059641446,-682.2716165956808,-594.6955272272171,-507.1194378587534,-419.54334849028965,-331.967259121855,-244.3911697533913,-156.81508038492757,-69.23899101646384,18.337098351999884,105.91318772046361,193.48927708889823,281.06536645736196,368.6414558258257,456.2175451942894,543.7936345627531,631.3697239312169,718.9458132996515,1740.50583847766,1804.01077946774,1818.36782013759,1799.87861664229,1740.3476817517,1735.2903123439,1798.01507982468,1748.57872030222,1691.53094901661,1808.64607818532,1606.29646776458,1163.49159838489,1086.4387714304,1197.58090750054,1305.00106057165,1488.02088119627,1633.55200001885,1464.29796254199,1603.64765027651,1821.87313102694,1960.88245974115,2143.52683947815,2247.49808010881,2380.64462078713,2522.44937446209,2675.50863709675,2851.36775919961,3044.89661682055,3298.47890843532,3432.1708719722,3577.11432498868,3678.04770145146,3736.34007957648,3780.69919254096,3855.76074409659,3952.80357364813,4090.37272829183,4249.8200493985,4431.55559506989,4543.38771048312,4418.66087378292,4857.11194201819,5155.29085964151,5394.18241000709,4659.8698348803155,ALB
