name,gender,height,weight,noc,game_year,age,is_host,Sport,AG.LND.TOTL.K2,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS,EN.POP.DNST,NY.ADJ.NNTY.KD,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.KD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG,SH.XPD.CHEX.GD.ZS,SL.UEM.TOTL.ZS,SN.ITK.MSFI.ZS,SP.POP.GROW,SP.POP.TOTL
Aaron Brown,Male,198,79,CAN,2024,32.0,False,Athletics,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Alena Sharp,Female,168,69,CAN,2024,43.0,False,Golf,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Alysha Newman,Female,175,63,CAN,2024,30.0,False,Athletics,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Amy Millar,Female,183,59,CAN,2024,47.0,False,Equestrian,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Andre De Grasse,Male,176,70,CAN,2024,29.0,False,Athletics,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Anicka Newell,Female,175,64,CAN,2024,31.0,False,Athletics,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Ashley Lawrence,Female,163,59,CAN,2024,29.0,False,Soccer,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Brendon Rodney,Male,195,80,CAN,2024,32.0,False,Athletics,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015803,38803944.891369104
Brian Yang,Male,180,65,CAN,2024,22.0,False,Badminton,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Brooke Henderson,Female,163,50,CAN,2024,26.0,False,Golf,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
